What is weight decay?	L2 regularization on the weights.<br>\(E_j = E_{j-1} + \lambda \sum_i^n w_i^2\)
What is the <b>Chain Rule</b> formula?	\(\frac{d}{dx} f(g(x)) = \frac{df(g(x))}{dg(x)} \frac{dg(x)}{dx}\)<br><br>\(\frac{dy}{dx} = \frac{dy}{du} \frac{du}{dx}\)
What is a <b>gradient</b> of a function?	The vector of its partial derivatives
What is the <b>Jacobian</b> matrix?	"<div>The collection of \(m\) x \(n\) possible partial derivates, which is the stack of \(m\) gradients:<br><br><img src=""paste-07ac55fbdfb0aa3c393eb93446ebe82b8e110009.jpg""><br></div><div><br></div>"
What is the <b>Hadamard product</b>?	The element-wise multiplication \(\odot\)
"What is the ""<i>single-variable total-derivative chain rule</i>""?"	The total derivative assumes that potentially all variables are codependent:<br><br>\(\frac{\partial f(u_1, ..., u_n)}{\partial x} = \sum_i^n \frac{\partial f}{\partial u_i} \frac{\partial u_i}{\partial x}\)
What is <b>gradient checkpointing</b>?	"Saving node value during forward only at some checkpoints. Recompute the non-saved node value for backprop.<div><br></div><div><img src=""0VEYowymIqvNc2HzB._""><br><br><img src=""0s7U1QDfSXuVd1LrF._""><br></div>"
What is the difference between <b>batch gradient descent</b> &amp; <b>stochastic gradient descent</b>?	Batch: SG on the whole dataset<br>Stochastic: SG on a single sample<br><br>Minibatch training is between those two
What is the <b>standard error of the mean</b>?	\(\sigma^{-}_x = \frac{\sigma}{\sqrt{n}}\)
What is the advantages of <b>large batches</b>?	- More accurate estimation of the mean of the gradient (yet with less than linear returns): \(\text{std error mean} = \frac{\sigma}{\sqrt{n}}\)<br>- Take more advantages of the parallelized operations
What is the advantages of <b>small batches</b>?	- Fit in memory<div>- Add a regularizing effect due to the noise</div>
What is the <b>Hessian</b> matrix?	"The matrix of the second partial derivates of \(f\):<div><br></div><div><img src=""paste-7370f1f84047862606bb69f1a9c765867ac4ac98.jpg""><br></div><div><br></div><div>Can be seen as the Jacobian of \(\nabla f(x)\)</div>"
What is the <b>ill-conditioning</b> of the Hessian?	When the condition number of the Hessian is high, the function' second derivatives are very dissimilar while the step size is constant for all.<br>It slows down the training.<div><br></div><div>The Hessian is ill-conditioned on a saddle point.</div>
What is the <b>SGD</b> update rule?	\(\theta_i = \theta_{i-1} - \eta \nabla L(f(x; \theta), y)\)
What is the momentum in SGD?	We add the weighted value of the previous gradients to the current gradient:<div><br></div><div>\(g_i = \alpha g_{i-1} + \eta \nabla L(f(x; \theta), y)\)<br></div><div>\(\theta_i = \theta_{i-1} - g\)<br></div>
What is the <b>Nesterov momentum</b>?	Like the momentum SGD but with the weights updated with the velocity before the evaluation of the current gradient:<br><br>&nbsp;<div><div>\(g_i = \alpha g_{i-1} + \eta \nabla L(f(x; \theta - \alpha g_{i-1}), y)\)<br></div><div>\(\theta_i = \theta_{i-1} - g\)</div></div>
What is the RMSProp algorithm?	A modified version of SGD where the gradient is weighted by the inverse of a EMA of the squared gradient:<br><br><div>\(r_i = \alpha r_{i-1} + (1 - \alpha)g \odot g\)<br></div><div>\(\theta_i = \theta_{i-1} - \frac{\eta}{\sqrt{\epsilon + r}} g\)</div><div><br></div>
What is the <b>Adam</b> algorithm?	A SGD where the learning rate is modulated by an estimation of the first &amp; second moment:<div><br></div><div>\(s_i = \alpha_1 s_{i-1} + (1 - \alpha_1)g\)<br></div><div><div>\(r_i = \alpha_2 r_{i-1} + (1 - \alpha_2)g \odot g\)</div><div><br></div>\(\hat{s_i} = \frac{s_i}{1 - \alpha_1^t}\)</div><div>\(\hat{r_i} = \frac{r_i}{1 - \alpha_2^t}\)</div><div><div><br></div><div>\(\theta_i = \theta_{i-1} - \eta \frac{\hat{s_i}}{\sqrt{\hat{r_i}}\epsilon} g\)</div></div>
In C, how to get the address of a variable?	&amp;x
In C, what is dereferencing a pointer?	Accessing the value stored in the memory location pointed by the pointer
In C, how to dereference a pointer?	*ptr
What is the <b>constrastive loss</b> formula?	\(L = (1 - Y) D^2 + Y (\max (0, m - D))^2\)<br><br>With \(Y = 1\) when images are dissimilar, \(0\) else.
What is the <b>Triplet Loss</b> formula?	\(L = \max(D(X, X^+) - D(X, X^-) + m, 0)\)
What is the <b>Triplet Ranking Loss</b> formula?	\(L = [m + D(X, X^+) - D(X, X^-)]_+\)<div>\(+ [m + D(X, X^+) - D(X^+, X^-)]_+\)</div>
What is <b>view-manifold learning</b>?	<div>Lowshot learning for multiple points of view:</div><div><br></div>- Sample same objects from different points of view + one different object.<br>- Embed them with a convnet.<br>- Pairwise distance with a cosine distance.<br>- Triplet loss.
What is a <b>Bi-RNN</b>?	RNN is applied both from the start of the sequence to its end, and in the opposite direction.<br>At each time step both forward &amp; backward outputs are concatenated.<br><br>Useful to gain context (step before &amp; after the current step).
What is <b>Prototypical Network</b>?	"Lowshot model that creates <i>prototype, </i>i.e. mean of the embedding of supports of the same class.<div><br></div><div>Inference is done by a softmax of the negated distance between the test image &amp; each prototype.</div><div><br></div><div><img src=""Screen Shot 2019-07-21 at 15.26.10.png""><br></div>"
"What is the <b>Siamese Network</b> used by (<i>Koch et al, 2015</i>) in ""<u>Siamese Networks for One-shot Image Recognition</u>"" ?"	Abs difference between 1024 embeddings of the images, then FC layer with a sigmoid. Optimizes the binary cross-entropy.
\(P(\cup_{i=1}^n E_i) =\) ...	\(P(\cup_{i=1}^n E_i) = \sum_{i=1}^n P(E_i)\)
What is a <b>combination</b>?	It's an arrangement of k objects from a pool of n objects where the <b>order does not matter</b><div><b><br></b></div><div><b><br></b></div>
What's the <b>permutation</b> formula of \(r\) objects from a pool of \(n\) objects?	\(P(n, r) = \frac{n!}{(n - r)!}\)<div><br></div><div>The order matter.</div>
What's the <b>combination</b> formula of \(r\) objects from a pool of \(n\) objects?	\(C(n, r) = \frac{P(n, r)}{r!} = \frac{n!}{r!(n - r)!}\)<div><br></div><div>The order doesn't matter.</div>
When two events are <b>independent</b>?	\(P(A \cap B) = P(A)P(B)\)
What is the <b>Chebyhev's inequality</b> formula?	\(P(|X-\mu| \ge k\sigma) \le \frac{1}{k^2}\)
What is a probability density function (<b>PDF</b>)?	The probability that a random continuous variable falls into a particular range of values
What is a cumulative distribution function (<b>CDF</b>)?	The probability that a random continuous variable X takes a value less than or equal to x
What is the <b>Central Limit Theorem</b>?	Given a sample size \(n \to \infty\) of a distribution with a mean \(\mu\) and a variance \(\sigma^2\), it approximates a normal distribution of mean \(\mu\) and variance \(\frac{\sigma}{\sqrt n}\)
What is the <b>null hypothesis</b>?	The default position that there is no relationship between two measured phenomena
What is the <b>p-value</b>?	The probability that, if the null-hypothesis is true, the expected events are verified.<div><br></div><div>If it's too low, we consider that the null-hypothesis is not significant</div>
How to find the <b>eigenvalues</b> of a matrix?	Finding all \(\lambda\) that satisfy the equation:<div><br></div><div>\(det(A - \lambda I) = 0\)</div>
How to find the <b>eigenvectors</b> of a matrix?	For each eigenvalue \(\lambda_i\), resolve the linear system:<div><br></div><div>\((A - \lambda_i I)x = 0\)</div>
What is the <b>adjugate matrix</b> <i>(fr: comatrix)</i>?	"The transpose of the cofactor matrix:<div><img src=""paste-c6fc7644dd87f489aa8f50b88337bc5b1f979993.jpg""><br></div><div><br></div><div><img src=""paste-cd6548f7b0aaabfc865eae5a85d729c1089fbe0e.jpg""><br></div><div><img src=""paste-c7e605cabcca3d266e46c659631e12da34a3eb35.jpg""><br></div>"
What does the <b>determinant</b> of a matrix represent?	The <b>scaling factor</b> of the linear transformation described by the matrix
How to find the <b>determinant</b> of a 3x3 square matrix?	"<img src=""paste-e57804dc37ccb872ba5ce2c7ed3dd1d3259dd8e5.jpg"">"
What are the steps of the <b>PCA</b>?	- substract mean<div>- Compute covariance matrix</div><div>- Calculate eigen{values/vectors} of the covariance matrix</div><div>- Normalize to unit vector the eigenvectors</div><div>- Keep the \(k\) eigenvectors that correspond to the \(k\) largest eigenvalues</div><div>- Concatenate as several columns in a matrix the chosen eigenvectors (<i>that produces the projection matrix&nbsp;</i>\(W\))</div><div>- Transform the data \(X\): \(Y = X &nbsp;W\)</div>
What is the <b>covariance</b> <b>matrix</b> formula?	\(\Sigma = \frac{1}{n - 1} ((X - \mu)^T(X - \mu))\)
What are the 4 conditions of a <b>metric</b>?	\(d(x, y) \ge 0\)<div>\(d(x, y) = 0 \iff x = y\)</div><div>\(d(x, y) = d(y, x)\)</div><div>\(d(x, y) \le d(x, z) + d(z, y)\)</div>
What is the <b>entropy formula</b>?	\(H(X) = - \Sigma_{i=1}^n P(x_i) \log P(x_i)\)
What does the <b>entropy</b> represents?	The amount of randomness / disorder
What is <b>curriculum learning</b>?	Feeding easy examples at first, and augment the proportion of difficult examples through time&nbsp;
What is the formula of <b>RNN</b>?	\(h^{(t)} = tanh(b_1 + W h^{(t - 1)} + U x^{(t)})\)<div><br></div><div>\(o^{(t)} = b_2 + V h^{(t)}\)</div>
What is a <b>permutation</b>?	It's an arrangement of k objects from a pool of n objects where the <b>order matter</b>
What is <b>teacher forcing</b>?	Recurrent models where the output of one time step is fed to next time step<div><br></div><div>Used in language modeling for example&nbsp;</div>
What is <b>sequence-to-sequence</b> (Seq2Seq)?	Model to convert seq from one domain (ex. english) &nbsp;to another (ex. french).<div><br></div><div>Uses a <b>RNN encoder</b> &amp; a <b>RNN decoder</b>.</div><div>The RNN decoder can use teacher forcing.</div>
What is <b>data parallelism</b>?	"When several machines run <b>a different input example</b> in parallel<div><br></div><div><img src=""paste-ad33ba32eafe8a70e8bc5b5c5ae16b5378814e00.jpg""><br></div>"
What is <b>model parallelism</b>?	"When for a same input example, several machines run <b>different parts of the model</b><div><b><br></b></div><div>Like AlexNet did with group convolution over two machines</div><div><br></div><div><img src=""paste-4935756d4da6b1641de5a7a44f9a4b1804a7d9ff.jpg""><br></div>"
What is a <b>Neural Turing Machine</b>?	"A <b>differentiable</b> Turing Machine that can <b>read &amp; write</b>&nbsp;with a <b>controller</b> to an <b>external memory</b><div><b><br></b></div><div><img src=""paste-87fcf0fda8d3ad50b6be38664e1a8c46d37cab30.jpg""><b><br></b></div>"
What is the <b>read formula</b> in a Neural Turing Machine?	\(M_t \in I\!R^{N \times M}\) the <b>memory matrix</b>, and \(w_t\) a <b>vector of weightings</b> over the \(N\) locations emitted by a read head at time \(t\).<div><br></div><div>\(r_t \leftarrow \Sigma_i w_t(i)M_t(i)\)</div>
What are the <b>two parts of a write operation</b> in a Neural Turing Machine?	<b>Erase</b> operation followed by an <b>add</b> operation
What is the <b>erase formula</b> in a <b>write operation</b> of a Neural Turing Machine?	\(M_t \in I\!R^{N \times M}\) &nbsp;the <b>memory matrix</b>, \(w_t \in I\!R^{N}\) the <b>vector of weightings</b>, and \(e_t \in I\!R^{M}\) the <b>erase vector</b> whose elements lie in the range (0, 1).<div><br></div><div>\(\tilde{M_t}(i) \leftarrow M_{t - 1}(i)[\pmb{1} - w_t(i)e_t] \)</div>
When do the <b>elements of a memory location are reset to zero</b> in an<b> erase</b> operation of a Neural Turing Machine?	<div>When both the <b>weighting at the location</b> and the <b>erase element</b> are one.</div><br><div>\(\tilde{M_t}(i) \leftarrow M_{t - 1}(i)[\pmb{1} - w_t(i)e_t] \)<br></div>
What is the <b>add formula</b> in a <b>write operation</b> in a Neural Turing Machine?	\(M_t \in I\!R^{N \times M}\) &nbsp;the&nbsp;<b>memory matrix</b>, \(w_t \in I\!R^{N}\) the&nbsp;<b>vector of weightings</b>, and \(a_t \in I\!R^{M}\) the&nbsp;<b>add vector</b>.<div><br></div><div>\(M_t(i) \leftarrow \tilde{M_t}(i) + w_t(i)a_t\)</div>
What are the <b>four steps of the addressing mechanism</b> in a Neural Turing Machine?<div><br></div><div><span class=cloze>[]</span></div><div>Interpolation</div><div>Convolutional shift</div><div>Sharpening<br></div>	"What are the <b>four steps of the addressing mechanism</b> in a Neural Turing Machine?<div><br></div><div><span class=cloze>Content addressing</span></div><div>Interpolation</div><div>Convolutional shift</div><div>Sharpening<br></div><br><br> <div><img src=""paste-536dc95442abedc4ae1c024eab7c4784a128c298.jpg""><br></div>"
What is the <b>content-base addressing</b> in a Neural Turing Machine?	It focuses attention on locations based on the <b>cosine similarity</b> between their current values &amp; values emitted by the controller.<div><br></div><div>\(M_t \in I\!R^{N \times M}\) &nbsp;the&nbsp;<b>memory matrix</b>, \(k_t \in I\!R^M\) the <b>key vector</b>, \(\beta_t\) the <b>key strenght </b>which modulate the precision of the focus and \(K\) the <b>cosine similarity</b>:<br></div><div><br></div><div>\(w_t^c(i) \leftarrow \frac{\exp(\beta_t K[k_t, M_t(i)])}{\Sigma_j \exp(\beta_t K[k_t, M_t(j)])}\)<br></div>
What is the <b>controller</b> in a Neural Turing Machine?	A <b>LSTM</b> or a <b>feedforward network</b>.<div><br></div><div>It interacts with the <b>external memory</b> using <b>read &amp; write head</b>.</div>
What is <b>Stochastic Weight Averaging</b> (SWA)?	<b>Average of the weights</b> every time the <b>cyclical learning rate</b> is at its minimum<div><br></div><div>\(w_{\text{SWA}} \leftarrow \frac{w_{\text{SWA}} \cdot t + w}{t + 1}\)</div>
What is the <b>LR Range Test</b>?	Method to <b>find optimal range of learning rates</b>:<div><br></div><div>- Start with small learning rates</div><div>- Increase it at each iterations for one epoch</div><div>- Record LR &amp; loss</div><div>- Upper bound of the learning rate is when loss was the lowest</div><div>- Lower bound is 0.25 or 0.75 of the upper bound</div>
What is <b>Born Again Neural Networks</b>?	"A <b>ensembling</b> &amp; <b>distillation</b> method, where the student learns from the teacher logits, then the student became a teacher for a new student.<div><br></div><div>Finally a vote is done between all students:<br><div><br></div><div><img src=""paste-3d47348b269db2f4e3318e478d38174072516449.jpg""><br></div></div>"
"What is the architecture of ""<u>Show and Tell: A Neural Image Caption Generato</u>r""?"	A <b>CNN</b> to embed the image followed by an <b>LSTM</b> producing the description.
What is <b>Beam Search</b> in Language Modeling?	We iteratively consider the set of the \(k\) best sentences up to a time \(t\) as candidates to generate sentences of of size \(t + 1\).
What is the message of the <b>sampling theorem</b> in the case of neural networks?	You should always blur (<b>pooling</b>) before subsampling (<b>stride</b>).
What is the <b>architecture</b> of the original <b>VQA</b>?	<b>CNN</b> to embed the image, <b>Word embeding</b> + <b>LSTM</b> for the question, <b>point-wise multiplication</b> between the two vectors &amp; fully connected classifier.
What is a <b>U-Net</b>?	"A <b>CNN</b> architecture used for <b>segmentation </b>where the image is downsampled to a bottleneck then upsampled to the original size producing a segmentation <b>mask</b>. There are <b>shortcut</b>&nbsp;connections between the downsampling &amp; upsampling phases.<div><br></div><div><img src=""paste-6c656fd79462b06f4549a14a2151ce8886e7e436.jpg""><br></div>"
"What is the <b>architecture</b> of <b>FashionNet</b> from the paper ""<u>DeepFashion</u>""?"	"<img src=""paste-ff7d92c11441939e1061e75b08a75550e62d059d.jpg""><br><div><img src=""paste-45bc05a253155315f36c65c4009fb4f92890a32d.jpg""><br></div>"
"What is ""<u>Distilling the Knowledge in a Neural Network</u>"" by (<i>Hinton et al, 2015</i>)?"	Distill a large trained model into a smaller model.<div><br></div><div>The smaller model try to <b>match the logits</b> of the bigger model with a <b>mean squared error</b>.</div>
What does <b>FreezeOut</b> do?	<b>Freeze gradually the layers</b>, starting from the firsts.<div><br></div><div>The reasonning is that the first layers quickly converge.</div>
What is <b>Snapshot Ensembles</b>?	<b>Save on disk the snapshot</b> of the model at the lowest point of the <b>cyclical learning rate</b> schedule. Then vote between all snapshots.<div><br></div><div>The reasonning is that a the lowest learning rate, the model falls in a local minimum, and an <b>ensemble of local minima is better</b>.</div>
What is the architecture of <b>Mask R-CNN</b>?	"At first like <b>Faster R-CNN</b>, with <b>CNN</b> and <b>RPN</b>.<div><br></div><div>Then add a <b>RoI Align</b>, followed by a <b>FCN</b> network to produce all the masks.</div><div><br></div><div><img src=""paste-e67d4f320eb10c49ea0555e1db92aa19bc797677.jpg""><br></div>"
How <b>RoI Align</b> is different from <b>RoI Pooling</b>?	"RoI Pooling is discrete, and samples the RoI in not equal surfaces.<div><br></div><div>RoI Align is <b>continuous</b> by doing a <b>bilinear interpolation</b>.</div><div><br></div><div><img src=""paste-073a94d0f71fe6f76cfeb452578400c99a4fc459.jpg""><br></div>"
What is a <b>Parametrized ReLU</b>?	Like a <b>Leaky ReLU</b> but with a <b>learned scalar </b>\(\alpha\):<div><br></div><div>\(\begin{cases} x_i &amp; \text{if}\ x_i \ge 0\\ \alpha x_i &amp; otherwise \end{cases}\)</div>
What is the architecture of <b>Stacked Attention Networks</b> (SAN)?	<b>CNN</b> to embed the image, <b>LSTM</b> to embed the question.<div><br></div><div>The image vector is formated so to be a matrix \(v_I \in I\!R^{d \times m}&nbsp;\) with the \(d\) the channels and \(m\) the spatial dimension.</div><div><br></div><div>We <b>refine iteratively</b> the image matrix \(v_I\) with the <b>attention map</b> \(p_I\):</div><div><br></div>\(h = \text{tanh}(W_I v_I + (W_Q v_Q + b_Q))\)<div>\(p_I = \text{softmax}(W_P h + b_P)\)</div><div>\(\tilde{v_I} = p_I + v_I\)</div><div><br></div><div>Finally we <b>combine the refined image matrix &amp; the question matrix with an addition</b> followed by a FC + softmax.</div>
What is the goal of <b>Histogram Loss</b>?	"Making the distributions of the similarities of the positive and negative pairs <b>less overlapping</b>.<div><br></div><div><img src=""Screen Shot 2019-09-21 at 11.47.24.png""><br></div>"
How does the <b>Histogram Loss</b> work?	"<b>Compute the histograms</b>&nbsp;of similarity of postive and negative pairs. The similarity function is the <b>negative cosine similarity</b>.<div><br><div>Estimate the probability of the similarity in a random negative pair to be more than the similarity in a random positive pair, aka the <b>probability of reverse</b>.</div></div><div><br></div><div>That can be approximated by:</div><div><br></div><div>\(L(X, \theta) = \sum_{r = 1}^R (h_r^{-} \sum_{q = 1}^r h_q^{+})\)</div><div><br></div><div>With \(\sum_{q = 1}^r h_q^{+}\) being the <b>CDF</b>&nbsp;up to \(r\).</div><div><br></div><div><img src=""Screen Shot 2019-09-21 at 11.46.52.png""><br></div><div><img src=""Screen Shot 2019-09-21 at 11.47.24.png""><br></div>"
What distance is used before the <b>Histogram Loss</b>?	Negative cosine distance
Why Triple-based losses are <b>less constrained </b>than pairwise losses?	Because the characteristic distance separating positive &amp; negative pairs <b>can vary across the embedding space</b>, i.e. depending on the location of \(x_0\).
\(P(a \le X \le b) =\) ... ? Using the PDF \(f\).	\(P(a \le X \le b) = \int_a^b f(x)dx\)
What is the<b> formula of the CDF</b> using the PDF \(f\)?	\(F(x) = \int_{-\infty}^x f(u) du\)
\(P(a \le X \le b) =\) ... ? Using the CDF \(F\).	\(P(a \le X \le b) = F(b) - F(a)\)
What is the <b>Empirical CDF</b> formula?	"<img src=""paste-c92847793b0c974a9355ec2d56b1ee4f35c91ff7.jpg"">"
What is the formula of the <b>Linear Regression</b>?	\(y = W \cdot X + b = \sum_{i=0}^n W_i X_i + b= W^T X + b \)
What is the Moore-Penrose <b>pseudo-inverse formula</b>?	\(A^{+} = (A^T A)^{-1} A^T\)
What is a <b>complete graph</b>?	A graph where <b>each pair of vertices is joined by an edge</b>.
